title,authors,citations,local_pdf,paper_link,bib_source,bib_link,venue,authors_original
"Towards fair, explainable and actionable clustering for learning analytics.","Tai Le Quy, Eirini Ntoutsi",3,,https://athene-forschung.unibw.de/doc/145155/145155.pdf,UNKNOWN,https://dblp.org/rec/conf/edm/QuyN21,EDM,"T Le Quy, E Ntoutsi - EDM, 2021 - athene-forschung.unibw.de"
Spectral clustering with scale fairness constraints,Zhijing Yang and Hui Zhang and Chunming Yang and Bo Li and Xujian Zhao and Yin Long,3,related-pdfs/Spectral_clustering_with_scale_fairness_constraints.pdf,https://doi.org/10.21203/rs.3.rs-3839431/v1,DBLP,https://dblp.org/rec/journals/kais/YangZYLZL25,Knowl. Inf. Syst.,"Z Yang, H Zhang, C Yang, B Li, X Zhao… - … and Information Systems, 2025 - Springer"
A unified framework for fair spectral clustering with effective graph learning,"Xiang Zhang, Qiao Wang",3,,https://arxiv.org/abs/2311.13766,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2311-13766,CoRR,"X Zhang, Q Wang - arXiv preprint arXiv:2311.13766, 2023 - arxiv.org"
Towards a theoretical understanding of why local search works for clustering with fair-center representation,Zhen Zhang and Junfeng Yang and Limei Liu and Xuesong Xu and Guozhen Rong and Qilong Feng,3,,https://doi.org/10.1609/aaai.v38i15.29638,DBLP,https://dblp.org/rec/conf/aaai/0025YLXRF24,AAAI,"Z Zhang, J Yang, L Liu, X Xu, G Rong… - Information and …, 2025 - Elsevier"
A Polynomial-Time Approximation for Pairwise Fair -Median Clustering,"Sayan Bandyapadhyay, Eden Chlamtác, Yury Makarychev, Ali Vakilian",6,,https://arxiv.org/abs/2405.10378,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2405-10378,CoRR,"S Bandyapadhyay, E Chlamtáč, Z Friggstad… - arXiv preprint arXiv …, 2024 - arxiv.org"
Exploring rawlsian fairness for k-means clustering,Stanley Simoes and Deepak P and Muiris MacCarthaigh,3,related-pdfs/Exploring_rawlsian_fairness_for_k-means_clustering.pdf,http://arxiv.org/abs/2205.02052v1,DBLP,https://dblp.org/rec/journals/corr/abs-2205-02052,CoRR,"S Simoes, P Deepak, M MacCarthaigh - Responsible Data Science: Select …, 2022 - Springer"
Definitions of Fairness Differ Across Socioeconomic Groups & Shape Perceptions of Algorithmic Decisions,"Tonya Nguyen, Sabriya Alam, Cathy Hu, Catherine Albiston, Niloufar Salehi",3,,https://dl.acm.org/doi/abs/10.1145/3687058,UNKNOWN,https://dblp.org/rec/journals/pacmhci/NguyenAHAS24,Proc. ACM Hum. Comput. Interact.,"T Nguyen, S Alam, C Hu, C Albiston… - Proceedings of the ACM …, 2024 - dl.acm.org"
Fair clustering for data summarization: Improved approximation algorithms and complexity insights,"Ameet Gadekar, Aristides Gionis, Suhas Thejaswi",2,,https://doi.org/10.1145/3696410.3714857,arXiv,https://arxiv.org/abs/2410.12913v1,WWW,"A Gadekar, A Gionis, S Thejaswi - Proceedings of the ACM on Web …, 2025 - dl.acm.org"
Fair Clustering in the Sliding Window Model,"Vincent Cohen-Addad, Shaofeng H.-C. Jiang, Qiaoyuan Yang, Yubo Zhang, Samson Zhou",4,,https://arxiv.org/abs/2503.05173,UNKNOWN,https://dblp.org/rec/conf/iclr/Cohen-AddadJYZZ25,ICLR,"V Cohen-Addad, SHC Jiang, Q Yang, Y Zhang… - arXiv preprint arXiv …, 2025 - arxiv.org"
Fair soft clustering,Rune D. Kj\aersgaard and Pekka Parviainen and Saket Saurabh and Madhumita Kundu and Line H. Clemmensen,2,related-pdfs/Fair_soft_clustering.pdf,https://doi.org/10.1145/3534678.3539451,DBLP,https://dblp.org/rec/conf/aistats/KjaersgaardP0KC24,AISTATS,"RD Kjærsgaard, P Parviainen, S Saurabh, M Kundu… - 2024 - bora.uib.no"
Can geodemographic clustering be fair? Incorporating social fairness in crisp and fuzzy approaches through a unified framework,"Yue Lin, George Grekousis",2,,https://www.tandfonline.com/doi/abs/10.1080/13658816.2024.2444525,UNKNOWN,https://dblp.org/rec/journals/gis/LinG25,Int. J. Geogr. Inf. Sci.,"Y Lin, G Grekousis - International Journal of Geographical …, 2025 - Taylor & Francis"
Fair clustering via hierarchical fair-dirichlet process,"Abhisek Chakraborty, Anirban Bhattacharya, Debdeep Pati",3,,https://arxiv.org/abs/2305.17557,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2305-17557,CoRR,"A Chakraborty, A Bhattacharya, D Pati - arXiv preprint arXiv:2305.17557, 2023 - arxiv.org"
Socially Fair Center-Based and Linear Subspace Clustering,"Sruthi Gorantla, Kishen N. Gowda, Amit Deshpande, Anand Louis",2,,https://link.springer.com/chapter/10.1007/978-3-031-43412-9_43,UNKNOWN,https://dblp.org/rec/conf/pkdd/GorantlaGDL23,ECML/PKDD,"S Gorantla, KN Gowda, A Deshpande… - Joint European Conference …, 2023 - Springer"
New algorithms for distributed fair k-center clustering: almost accurate as sequential algorithms,"Xiaoliang Wu, Qilong Feng, Ziyun Huang, Jinhui Xu, Jianxin Wang",4,,https://ifaamas.csc.liv.ac.uk/Proceedings/aamas2024/pdfs/p1938.pdf,UNKNOWN,https://dblp.org/rec/conf/atal/WuFH0024,AAMAS,"X Wu, Q Feng, Z Huang, J Xu… - Proceedings of the 23rd …, 2024 - ifaamas.csc.liv.ac.uk"
Cost Guarantee for Individual Fairness on Spectral Clustering,"Zhijing Yang, Hui Zhang, Chunming Yang, Yi Yang, Bo Li",2,,https://doi.org/10.1109/icpads60453.2023.00218,NONE,https://dblp.org/rec/conf/icpads/YangZYYL23,ICPADS,"Z Yang, H Zhang, C Yang, Y Yang… - 2023 IEEE 29th …, 2023 - ieeexplore.ieee.org"
Fair clustering: Overview,"Anshuman Chhabra, Karina Masalkovaite, Prasant Mohapatra",1,,,UNKNOWN,https://dblp.org/rec/journals/access/ChhabraMM21,IEEE Access,H Xiao - 2019
Robust fair clustering with group membership uncertainty sets,"Sharmila Duppala, Juan Luque, John P. Dickerson, Seyed A. Esmaeili",1,related-pdfs/Robust_Fair_Clustering_with_Group_Membership_Uncertainty_Sets.pdf,http://arxiv.org/abs/2406.00599v3,arXiv,https://arxiv.org/abs/2406.00599v3,AISTATS,"S Duppala, J Luque, JP Dickerson… - arXiv preprint arXiv …, 2024 - arxiv.org"
Towards fairer centroids in k-means clustering,"Stanley Simoes, Deepak P, Muiris MacCarthaigh",1,,https://ojs.aaai.org/index.php/AAAI/article/view/30156,UNKNOWN,https://dblp.org/rec/conf/aaai/Simoes0M24,AAAI,"S Simoes, P Deepak, M MacCarthaigh - Proceedings of the AAAI …, 2024 - ojs.aaai.org"
An Optimization-Based Order-and-Cut Approach for Fair Clustering of Data Sets,"S Li, H Aprahamian, M Nouiehed… - INFORMS Journal on …, 2024 - pubsonline.informs.org",1,,https://pubsonline.informs.org/doi/abs/10.1287/ijds.2022.0005,UNKNOWN,,,"S Li, H Aprahamian, M Nouiehed… - INFORMS Journal on …, 2024 - pubsonline.informs.org"
K-Means Clustering with Fairness Constraints,Weiting Xu and Jie Hu and Shengdong Du and Yan Yang,1,,https://doi.org/10.1109/iske54062.2021.9755376,DBLP,https://dblp.org/rec/conf/iske/XuHDY21,ISKE,"W Xu, J Hu, S Du, Y Yang - 2021 16th International Conference …, 2021 - ieeexplore.ieee.org"
Fair center clustering in sliding windows,"Matteo Ceccarello, Andrea Pietracaprina, Geppino Pucci, Francesco Visonà",1,related-pdfs/Fair_Center_Clustering_in_Sliding_Windows.pdf,https://doi.org/10.3390/a15020052,arXiv,https://arxiv.org/abs/2503.05260v1,CoRR,"M Ceccarello, A Pietracaprina, G Pucci… - arXiv preprint arXiv …, 2025 - arxiv.org"
Fair k-means clustering,"Ali Feizollah, Nor Badrul Anuar, Rosli Salleh, Fairuz Amalina",1,,https://www.researchgate.net/profile/Mehrdad-Ghadiri/publication/342302166_Fair_k-Means_Clustering/links/5f07a18892851c52d62526e3/Fair-k-Means-Clustering.pdf,UNKNOWN,https://dblp.org/rec/conf/isbast/FeizollahASA14,ISBAST,"M Ghadiri, S Samadi, S Vempala - arXiv preprint arXiv …, 2020 - researchgate.net"
Cost-Free Fairness in Online Correlation Clustering,"Eric Balkanski, Jason Chatzitheodorou, Andreas Maggiori",2,related-pdfs/Cost-Free_Fairness_in_Online_Correlation_Clustering.pdf,https://doi.org/10.1007/978-3-031-18840-4_22,NONE,https://dblp.org/rec/conf/alt/BalkanskiCM25,ALT,"E Balkanski, J Chatzitheodorou… - 36th International …, 2025 - raw.githubusercontent.com"
Linear programming based approximation to individually fair k-clustering with outliers,"Binita Maity, Shrutimoy Das, Anirban Dasgupta",3,,https://arxiv.org/abs/2412.10923,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2412-10923,CoRR,"B Maity, S Das, A Dasgupta - arXiv preprint arXiv:2412.10923, 2024 - arxiv.org"
Scale fairness on spectral clustering,Zhijing Yang and Hui Zhang and Chunming Yang and Bo Li and Xujian Zhao and Yin Long,1,,https://doi.org/10.1145/3676288.3676301,DBLP,https://dblp.org/rec/conf/ssdbm/YangZYLZL24,SSDBM,"Z Yang, H Zhang, C Yang, B Li, X Zhao… - Proceedings of the 36th …, 2024 - dl.acm.org"
Fair Spectral Clustering Based on Coordinate Descent,"R Feng, C Zhong, T Pan - Symmetry, 2024 - mdpi.com",1,,https://www.mdpi.com/2073-8994/17/1/12,UNKNOWN,,,"R Feng, C Zhong, T Pan - Symmetry, 2024 - mdpi.com"
A Semidefinite Relaxation Approach for Fair Graph Clustering,"Sina Baharlouei, Sadra Sabouri",2,,https://arxiv.org/abs/2410.15233,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2410-15233,CoRR,"S Baharlouei, S Sabouri - arXiv preprint arXiv:2410.15233, 2024 - arxiv.org"
Group and individual fairness in clustering algorithms,"S Gupta, S Jain, G Ghalme, NC Krishnan… - Ethics in Artificial …, 2023 - Springer",1,related-pdfs/Group_and_Individual_Fairness_in_Clustering_Algorithms.pdf,https://doi.org/10.1007/978-981-99-7184-8_2,NONE,,,"S Gupta, S Jain, G Ghalme, NC Krishnan… - Ethics in Artificial …, 2023 - Springer"
Fairness in Clustering,Yue Lin and George Grekousis,4,related-pdfs/Fairness_in_clustering.pdf,http://arxiv.org/abs/2010.07054v1,DBLP,https://dblp.org/rec/journals/gis/LinG25,J. Interact. Syst.,"B Brubach, D Chakrabarty, JP Dickerson, S Esmaeili… - 2022 - fairclustering.com"
Fairness and Information Access Clustering in Social Networks,H Beilinson - 2020 - scholarship.tricolib.brynmawr.edu,1,,https://scholarship.tricolib.brynmawr.edu/handle/10066/22615,UNKNOWN,,,H Beilinson - 2020 - scholarship.tricolib.brynmawr.edu
Approximation Algorithms for Clustering: Fairness and Outlier Detection,M Negahbani - 2022 - search.proquest.com,1,related-pdfs/Approximation_Algorithms_for_Clustering_Fairness_and_Outlier_Detection.pdf,https://doi.org/10.1145/3447548.3470822,NONE,,,M Negahbani - 2022 - search.proquest.com
Fair Clustering with Clusterlets,"Mattia Setzu, Riccardo Guidotti",0,related-pdfs/Fair_Clustering_with_Clusterlets.pdf,https://doi.org/10.1145/3534678.3539451,arXiv,https://arxiv.org/abs/2505.06259v1,CoRR,"M Setzu, R Guidotti - arXiv preprint arXiv:2505.06259, 2025 - arxiv.org"
"SoK: Fair Clustering: Critique, Caveats, and Future Directions","John Dickerson, Seyed A. Esmaeili, Jamie Morgenstern, Claire Jie Zhang",1,,https://doi.org/10.1109/satml64287.2025.00044,NONE,https://dblp.org/rec/conf/satml/0001EMZ25,SaTML,"J Dickerson, SA Esmaeili… - … IEEE Conference on …, 2025 - ieeexplore.ieee.org"
Fair Clustering via Alignment,"Kunwoong Kim, Jihu Lee, Sangchul Park, Yongdai Kim",0,related-pdfs/Fair_Clustering_via_Alignment.pdf,https://doi.org/10.3233/faia240570,arXiv,https://arxiv.org/abs/2505.09131v2,CoRR,"K Kim, J Lee, S Park, Y Kim - arXiv preprint arXiv:2505.09131, 2025 - arxiv.org"
FACROC: a fairness measure for FAir Clustering through ROC curves,"Tai Le Quy, Long Le Thanh, Lan Luong Thi Hong, Frank Hopfgartner",0,related-pdfs/FACROC_a_fairness_measure_for_FAir_Clustering_through_ROC_curves.pdf,https://doi.org/10.1007/978-3-642-04898-2_497,arXiv,https://arxiv.org/abs/2503.00854v1,PAKDD,"T Le Quy, L Le Thanh, L Luong Thi Hong… - Pacific-Asia Conference …, 2025 - Springer"
From Discrete to Continuous: Deep Fair Clustering With Transferable Representations,Xiang Zhang,0,,https://arxiv.org/abs/2403.16201,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2403-16201,CoRR,"X Zhang - arXiv preprint arXiv:2403.16201, 2024 - arxiv.org"
Fair Clustering: A Causal Perspective,"Fritz M. Bayer, Drago Plecko, Niko Beerenwinkel, Jack Kuipers",0,,https://arxiv.org/abs/2312.09061,UNKNOWN,https://dblp.org/rec/conf/clear2/BayerPBK25,CLeaR,"F Bayer, D Plecko, N Beerenwinkel… - arXiv preprint arXiv …, 2023 - arxiv.org"
Fair Bayesian Model-Based Clustering,"Jihu Lee, Kunwoong Kim, Yongdai Kim",0,,https://arxiv.org/abs/2506.12839,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2506-12839,CoRR,"J Lee, K Kim, Y Kim - arXiv preprint arXiv:2506.12839, 2025 - arxiv.org"
Adversarial Fair Multi-View Clustering,"M Jiang, J Zhou, L Hu, X Liu, Z He, Z Chen - arXiv preprint arXiv …, 2025 - arxiv.org",0,,https://arxiv.org/abs/2508.04071,UNKNOWN,,,"M Jiang, J Zhou, L Hu, X Liu, Z He, Z Chen - arXiv preprint arXiv …, 2025 - arxiv.org"
FairDen: Fair Density-Based Clustering,"Lena Krieger, Anna Beer, Pernille Matthews, Anneka Myrup Thiesson, Ira Assent",3,related-pdfs/FairDen_Fair_Density-Based_Clustering.pdf,https://doi.org/10.3233/jifs-202449,NONE,https://dblp.org/rec/conf/iclr/Krieger0MTA25,ICLR,"L Krieger, A Beer, P Matthews… - The Thirteenth …, 2025 - openreview.net"
Deep Fair Clustering With Multi-Objective Handling,A Saha - 2025 - elib.uni-stuttgart.de,0,,https://elib.uni-stuttgart.de/bitstreams/bdc34463-f657-4e6f-8d06-074204782e86/download,UNKNOWN,,,A Saha - 2025 - elib.uni-stuttgart.de
Deep Fair Multi-View Clustering with Attention KAN,"Haiming Xu, Qianqian Wang, Boyue Wang, Quanxue Gao",0,,http://openaccess.thecvf.com/content/CVPR2025/html/Xu_Deep_Fair_Multi-View_Clustering_with_Attention_KAN_CVPR_2025_paper.html,UNKNOWN,https://dblp.org/rec/conf/cvpr/Xu0WG25,CVPR,"HM Xu, Q Wang, B Wang… - Proceedings of the …, 2025 - openaccess.thecvf.com"
Deep fair clustering with multi-level decorrelation,"Xiang Wang, Liping Jing, Huafeng Liu, Jian Yu, Weifeng Geng, Gencheng Ye",0,,https://www.sciencedirect.com/science/article/pii/S0020025524011666,UNKNOWN,https://dblp.org/rec/journals/isci/WangJLYGY24,Inf. Sci.,"X Wang, L Jing, H Liu, J Yu, W Geng, G Ye - Information Sciences, 2024 - Elsevier"
Fair k-Center Clustering,"Suman K. Bera, Syamantak Das, Sainyam Galhotra, Sagar Sudhir Kale",0,,https://ieeexplore.ieee.org/abstract/document/10439130/,UNKNOWN,https://dblp.org/rec/conf/www/BeraDGK22,WWW,"Z Lin, S Zhu - 2023 2nd International Conference on Cloud …, 2023 - ieeexplore.ieee.org"
Fair One-Step Spectral Rotation Clustering via Adaptive Graph Learning,"L Agrawal, VV Saradhi, T Sharma - Pacific-Asia Conference on …, 2025 - Springer",0,,https://link.springer.com/chapter/10.1007/978-981-96-8173-0_1,UNKNOWN,,,"L Agrawal, VV Saradhi, T Sharma - Pacific-Asia Conference on …, 2025 - Springer"
Capacitated Fair-Range Clustering: Hardness and Approximation Algorithms,"Ameet Gadekar, Suhas Thejaswi",0,,https://arxiv.org/abs/2505.15905,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2505-15905,CoRR,"A Gadekar, S Thejaswi - arXiv preprint arXiv:2505.15905, 2025 - arxiv.org"
Relative Error Fair Clustering in the Weak-Strong Oracle Model,"Vladimir Braverman, Prathamesh Dharangutte, Shaofeng H.-C. Jiang, Hoai-An Nguyen, Chen Wang, Yubo Zhang, Samson Zhou",0,,https://arxiv.org/abs/2506.12287,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2506-12287,CoRR,"V Braverman, P Dharangutte, SHC Jiang… - arXiv preprint arXiv …, 2025 - arxiv.org"
A Computational Approach to Improving Fairness in K-means Clustering,"Guancheng Zhou, Haiping Xu, Hongkang Xu, Chenyu Li, Donghui Yan",0,related-pdfs/A_Computational_Approach_to_Improving_Fairness_in_K-means_Clustering.pdf,https://doi.org/10.1109/iske54062.2021.9755376,arXiv,https://arxiv.org/abs/2505.22984v2,CoRR,"G Zhou, H Xu, H Xu, C Li, D Yan - arXiv preprint arXiv:2505.22984, 2025 - arxiv.org"
Cluster-level Group Representativity Fairness in -means Clustering,"Stanley Simoes, Deepak P, Muiris MacCarthaigh",0,related-pdfs/Cluster-level_Group_Representativity_Fairness_in_-means_Clustering.pdf,https://doi.org/10.1145/3394231.3397910,NONE,https://dblp.org/rec/journals/corr/abs-2212-14467,CoRR,"S Simoes, M MacCarthaigh - arXiv preprint arXiv:2212.14467, 2022 - arxiv.org"
Studio e Confronto di Tre Algoritmi di Spectral Clustering con Vincolo di Group Fairness,G Lombardi - amslaurea.unibo.it,0,,https://amslaurea.unibo.it/id/eprint/29501/,UNKNOWN,,,G Lombardi - amslaurea.unibo.it
Individual Fairness for Fuzzy C-Means Clustering,"Zhijing Yang, Boyang Yan, Junjie Zheng, Yiding Tang, Chuan Qian, Hui Zhang",0,,https://doi.org/10.1109/icassp49660.2025.10888003,NONE,https://dblp.org/rec/conf/icassp/YangYZTQZ25,ICASSP,"Z Yang, B Yan, J Zheng, Y Tang… - ICASSP 2025-2025 …, 2025 - ieeexplore.ieee.org"
"Study on Locality, Fairness, and Optimal Resource Allocation in Cluster Scheduling","CR Vanguru - … and Parallel/Distributed Computing: Volume, 2024 - Springer",0,,https://link.springer.com/chapter/10.1007/978-3-031-56388-1_2,UNKNOWN,,,"CR Vanguru - … and Parallel/Distributed Computing: Volume 17, 2024 - Springer"
Efficient k-means with Individual Fairness via Exponential Tilting,"Shengkun Zhu, Jinshan Zeng, Yuan Sun, Sheng Wang, Xiaodong Li, Zhiyong Peng",0,related-pdfs/Efficient_k-means_with_Individual_Fairness_via_Exponential_Tilting.pdf,http://arxiv.org/abs/2406.16557v1,arXiv,https://arxiv.org/abs/2406.16557v1,CoRR,"S Zhu, J Zeng, Y Sun, S Wang, X Li, Z Peng - arXiv preprint arXiv …, 2024 - arxiv.org"
Ensuring Fairness in Spectral Clustering via Disparate Impact-Based Graph Construction,"Adithya K. Moorthy, V. Vijaya Saradhi, Bhanu Prasad",0,,https://doi.org/10.1109/tai.2025.3545800,NONE,https://dblp.org/rec/journals/tai/MoorthySP25,IEEE Trans. Artif. Intell.,"AK Moorthy, VV Saradhi… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org"
Comparison of Fairness Conditions Comparison Study with Fuzzy C-Means and K-Means Methods,"I Lestari, A Mahfud, E Zamroni… - QALAMUNA …, 2024 - ejournal.insuriponorogo.ac.id",0,,https://ejournal.insuriponorogo.ac.id/index.php/qalamuna/article/view/4992,UNKNOWN,,,"I Lestari, A Mahfud, E Zamroni… - QALAMUNA …, 2024 - ejournal.insuriponorogo.ac.id"
Fairness-enhancing mixed effects deep learning improves fairness on in-and out-of-distribution clustered (non-iid) data,"Adam Wang, Son Nguyen, Albert Montillo",0,related-pdfs/Fairness-enhancing_mixed_effects_deep_learning_improves_fairness_on_in-and_out-of-distribution_clustered_non-iid_data.pdf,https://doi.org/10.1109/ijcnn54540.2023.10191762,NONE,https://dblp.org/rec/journals/corr/abs-2310-03146,CoRR,"S Nguyen, A Wang, A Montillo - arXiv preprint arXiv:2310.03146, 2023 - arxiv.org"
Accelerating Spectral Clustering under Fairness Constraints,"Francesco Tonin, Alex Lambert, Johan A. K. Suykens, Volkan Cevher",1,,https://arxiv.org/abs/2506.08143,UNKNOWN,https://dblp.org/rec/journals/corr/abs-2506-08143,CoRR,"F Tonin, A Lambert, JAK Suykens, V Cevher - arXiv preprint arXiv …, 2025 - arxiv.org"
Fairness in constrained spectral clustering,"Laxita Agrawal, V. Vijaya Saradhi, Teena Sharma",0,,https://doi.org/10.1016/j.neucom.2025.129815,NONE,https://dblp.org/rec/journals/ijon/AgrawalSS25,Neurocomputing,"L Agrawal, VV Saradhi, T Sharma - Neurocomputing, 2025 - Elsevier"
"Spectral Clustering: Preliminaries, Algorithms, and Fairness",J Shen - 2022 - math.ucdavis.edu,0,,https://www.math.ucdavis.edu/~webfiles/undergrad_thesis/202203_Junhui_Shen_Bai.pdf,UNKNOWN,,,J Shen - 2022 - math.ucdavis.edu
